home_idx,away_idx,margin,home_team,away_team,home_pr,away_pr,home_off,home_def,away_off,away_def
10,15,-3.0,HOU,MIA,0.0063633062928196,0.0457870794643961,0.992851,1.06718,0.992439,0.954699
12,23,-16.0,LAC,PHX,0.0347824704668889,0.0602335274538521,0.978238,0.977603,1.034706,0.972419
14,16,30.0,MEM,MIL,0.0598898243501919,0.0280730979756421,1.04365,0.994827,1.046029,1.016851
3,0,-19.0,CHA,ATL,0.0246902228698749,0.0543994736103703,1.045667,1.04167,1.032039,1.019011
6,24,20.0,DAL,POR,0.0400431558863304,0.0137597696546373,0.973076,0.945594,0.960516,1.037311
5,11,6.0,CLE,IND,0.0500866440470742,0.0210597726835284,0.972418,0.953531,1.010643,1.039967
8,25,-9.0,DET,SAC,0.012590743809682,0.0125988940675179,0.949618,1.015795,0.998358,1.046842
20,17,-2.0,OKC,MIN,0.0096898554654642,0.0464363618485504,0.936351,1.006328,1.049302,1.026474
4,19,-23.0,CHI,NYK,0.0255075170500835,0.0291673104305282,1.011078,1.014173,0.961948,0.961574
13,7,18.0,LAL,DEN,0.0137511796875004,0.0345402587126149,1.013651,1.040915,1.017956,0.998491
2,21,-8.0,BOS,ORL,0.0772253049343108,0.0089507342892975,1.008049,0.944763,0.942972,1.01223
27,1,-3.0,TOR,BKN,0.0402042952349722,0.0245005373461128,0.989893,0.969089,1.024876,1.016646
22,9,12.0,PHI,GSW,0.035428294317116,0.0711095215138326,0.994641,0.971781,1.001005,0.950809
20,14,6.0,OKC,MEM,0.0096898554654642,0.0598898243501919,0.936351,1.006328,1.04365,0.994827
23,18,4.0,PHX,NOP,0.0602335274538521,0.0208227100466635,1.034706,0.972419,0.986774,0.99425
12,29,9.0,LAC,WAS,0.0347824704668889,0.0184133026207388,0.978238,0.977603,0.983764,1.013005
26,15,-10.0,SAS,MIA,0.0261337119399451,0.0457870794643961,1.022324,1.022463,0.992439,0.954699
10,24,-12.0,HOU,POR,0.0063633062928196,0.0137597696546373,0.992851,1.06718,0.960516,1.037311
5,6,1.0,CLE,DAL,0.0500866440470742,0.0400431558863304,0.972418,0.953531,0.973076,0.945594
16,28,26.0,MIL,UTA,0.0280730979756421,0.0537611219294618,1.046029,1.016851,1.025165,0.973709
11,19,-3.0,IND,NYK,0.0210597726835284,0.0291673104305282,1.010643,1.039967,0.961948,0.961574
17,4,24.0,MIN,CHI,0.0464363618485504,0.0255075170500835,1.049302,1.026474,1.011078,1.014173
