home_idx,away_idx,margin,season
2,0,21.0,2018
22,11,-12.0,2018
24,27,6.0,2018
5,16,-12.0,2018
14,15,-3.0,2018
3,19,-2.0,2018
1,29,7.0,2018
25,9,-5.0,2018
7,20,11.0,2018
14,10,-8.0,2018
26,4,-5.0,2018
8,2,9.0,2018
21,28,7.0,2018
20,12,6.0,2018
3,13,-28.0,2018
23,17,8.0,2018
29,13,18.0,2018
18,15,-6.0,2018
5,22,-23.0,2018
7,27,9.0,2018
6,25,-7.0,2018
1,0,17.0,2018
11,19,11.0,2018
10,28,5.0,2018
26,22,27.0,2018
8,16,-3.0,2018
20,4,25.0,2018
17,25,27.0,2018
12,24,-4.0,2018
19,23,-18.0,2018
9,14,17.0,2018
7,6,8.0,2018
0,29,8.0,2018
11,5,-1.0,2018
1,13,5.0,2018
24,14,7.0,2018
2,23,-8.0,2018
10,29,18.0,2018
17,8,-6.0,2018
27,11,3.0,2018
22,19,22.0,2018
16,18,8.0,2018
4,1,-3.0,2018
25,20,-19.0,2018
21,26,-30.0,2018
3,5,11.0,2018
28,9,5.0,2018
12,6,4.0,2018
15,10,2.0,2018
26,17,26.0,2018
3,8,12.0,2018
27,5,16.0,2018
19,0,-7.0,2018
2,16,-13.0,2018
1,11,-8.0,2018
4,21,10.0,2018
24,28,-30.0,2018
25,14,3.0,2018
13,18,8.0,2018
10,26,7.0,2018
9,6,4.0,2018
28,20,-1.0,2018
22,27,25.0,2018
29,23,3.0,2018
15,16,7.0,2018
12,7,21.0,2018
9,12,2.0,2018
21,15,-24.0,2018
20,17,-2.0,2018
25,18,5.0,2018
8,0,-3.0,2018
13,14,-8.0,2018
2,3,16.0,2018
11,29,16.0,2018
24,6,3.0,2018
5,4,-20.0,2018
1,23,8.0,2018
10,20,4.0,2018
19,16,-14.0,2018
9,13,-26.0,2018
2,22,7.0,2018
28,24,21.0,2018
4,17,-25.0,2018
0,11,-8.0,2018
6,18,3.0,2018
21,23,-2.0,2018
14,5,8.0,2018
15,27,-2.0,2018
26,7,8.0,2018
12,25,9.0,2018
8,29,11.0,2018
1,3,2.0,2018
9,24,-1.0,2018
16,19,16.0,2018
28,22,-17.0,2018
25,13,1.0,2018
10,2,14.0,2018
18,6,2.0,2018
21,27,29.0,2018
15,5,24.0,2018
3,1,13.0,2018
29,4,-9.0,2018
13,12,-11.0,2018
11,8,30.0,2018
23,20,-16.0,2018
7,26,3.0,2018
17,0,-3.0,2018
18,10,-4.0,2018
16,1,14.0,2018
29,3,4.0,2018
12,26,-11.0,2018
28,19,30.0,2018
23,7,-4.0,2018
14,2,-9.0,2018
0,5,3.0,2018
24,9,-10.0,2018
27,4,6.0,2018
21,8,2.0,2018
13,25,7.0,2018
24,22,30.0,2018
15,17,-9.0,2018
6,20,2.0,2018
3,21,25.0,2018
18,17,9.0,2018
26,2,9.0,2018
23,9,-23.0,2018
11,0,8.0,2018
10,14,12.0,2018
20,6,20.0,2018
16,8,23.0,2018
27,28,6.0,2018
25,24,-5.0,2018
7,19,7.0,2018
12,22,-6.0,2018
14,8,-7.0,2018
4,21,-28.0,2018
3,6,-30.0,2018
29,0,16.0,2018
13,20,-7.0,2018
23,22,-5.0,2018
1,18,5.0,2018
2,17,13.0,2018
5,15,-25.0,2018
25,7,-4.0,2018
26,27,18.0,2018
9,10,-1.0,2018
13,19,-7.0,2018
15,29,6.0,2018
4,11,-3.0,2018
14,1,-9.0,2018
23,12,-10.0,2018
24,20,-2.0,2018
5,28,-26.0,2018
17,21,17.0,2018
2,6,21.0,2018
16,0,30.0,2018
8,28,-5.0,2018
22,6,6.0,2018
5,18,-30.0,2018
16,27,-7.0,2018
25,9,-4.0,2018
26,14,20.0,2018
7,3,13.0,2018
24,10,9.0,2018
23,3,-6.0,2018
12,21,10.0,2018
4,1,-17.0,2018
20,29,-18.0,2018
0,15,24.0,2018
27,11,16.0,2018
17,13,22.0,2018
25,21,16.0,2018
24,19,10.0,2018
18,14,19.0,2018
10,7,12.0,2018
2,1,21.0,2018
6,13,-10.0,2018
8,26,-12.0,2018
16,28,12.0,2018
20,17,-2.0,2018
12,3,19.0,2018
5,11,-8.0,2018
22,29,17.0,2018
27,0,3.0,2018
23,25,4.0,2018
9,19,27.0,2018
15,7,-4.0,2018
1,0,16.0,2018
10,16,-7.0,2018
29,22,17.0,2018
18,5,16.0,2018
2,11,27.0,2018
24,4,12.0,2018
13,8,13.0,2018
14,26,10.0,2018
6,23,10.0,2018
28,21,13.0,2018
7,12,21.0,2018
25,8,10.0,2018
26,20,7.0,2018
15,2,16.0,2018
29,16,7.0,2018
22,0,-2.0,2018
24,3,30.0,2018
28,13,18.0,2018
17,6,-4.0,2018
10,5,28.0,2018
19,11,-15.0,2018
27,1,17.0,2018
9,4,30.0,2018
17,18,4.0,2018
21,2,2.0,2018
28,4,8.0,2018
12,8,-5.0,2018
25,3,7.0,2018
20,26,10.0,2018
23,7,9.0,2018
15,14,4.0,2018
0,16,-19.0,2018
29,27,-2.0,2018
6,9,-5.0,2018
13,5,-6.0,2018
7,24,3.0,2018
21,10,7.0,2018
19,22,-3.0,2018
25,24,8.0,2018
26,3,-15.0,2018
28,8,6.0,2018
1,2,7.0,2018
12,18,-4.0,2018
10,14,18.0,2018
22,17,30.0,2018
7,9,-30.0,2018
11,23,30.0,2018
13,4,7.0,2018
16,15,30.0,2018
0,20,16.0,2018
6,26,-4.0,2018
2,27,9.0,2018
24,5,17.0,2018
8,21,5.0,2018
9,18,7.0,2018
10,1,-3.0,2018
12,28,-20.0,2018
14,16,-10.0,2018
27,23,2.0,2018
29,19,1.0,2018
7,4,30.0,2018
20,13,-10.0,2018
3,25,19.0,2018
11,22,-24.0,2018
28,5,16.0,2018
2,14,6.0,2018
12,9,-18.0,2018
17,26,-3.0,2018
8,15,5.0,2018
21,1,-2.0,2018
24,18,16.0,2018
10,13,4.0,2018
21,16,-10.0,2018
8,25,-2.0,2018
27,14,29.0,2018
4,15,-14.0,2018
7,5,22.0,2018
11,6,12.0,2018
3,23,20.0,2018
22,20,-2.0,2018
0,2,-8.0,2018
11,3,25.0,2018
17,23,2.0,2018
26,12,-8.0,2018
14,18,-20.0,2018
13,9,-19.0,2018
16,6,10.0,2018
19,20,-18.0,2018
1,25,29.0,2018
28,24,-5.0,2018
0,21,-19.0,2018
5,4,-16.0,2018
29,8,14.0,2018
22,10,28.0,2018
2,15,8.0,2018
20,24,9.0,2018
23,17,-27.0,2018
27,25,15.0,2018
6,12,8.0,2018
15,12,-12.0,2018
1,21,4.0,2018
28,7,6.0,2018
4,0,-20.0,2018
14,3,-11.0,2018
22,26,2.0,2018
11,27,4.0,2018
2,5,20.0,2018
18,8,-4.0,2018
19,10,-4.0,2018
20,18,6.0,2018
29,9,-8.0,2018
13,17,-15.0,2018
23,24,-14.0,2018
28,17,4.0,2018
4,12,-5.0,2018
14,25,-3.0,2018
6,8,5.0,2018
5,15,-6.0,2018
7,23,30.0,2018
1,19,10.0,2018
16,3,9.0,2018
10,27,2.0,2018
21,29,-4.0,2018
24,0,9.0,2018
14,11,3.0,2018
7,22,16.0,2018
2,9,-4.0,2018
18,26,-12.0,2018
10,21,5.0,2018
13,23,14.0,2018
26,29,13.0,2018
6,27,-3.0,2018
19,15,-9.0,2018
4,5,-3.0,2018
20,16,6.0,2018
17,28,-14.0,2018
12,25,14.0,2018
12,0,-5.0,2018
2,1,8.0,2018
14,7,-3.0,2018
11,9,-30.0,2018
3,19,9.0,2018
26,23,2.0,2018
5,29,3.0,2018
8,16,-10.0,2018
13,22,-16.0,2018
21,20,-9.0,2018
1,4,5.0,2018
10,18,-5.0,2018
15,4,-16.0,2018
18,7,-6.0,2018
19,6,-24.0,2018
29,11,18.0,2018
2,3,30.0,2018
24,28,27.0,2018
25,0,22.0,2018
17,14,2.0,2018
21,11,7.0,2018
8,6,4.0,2018
9,22,-9.0,2018
26,1,3.0,2018
27,16,-13.0,2018
12,13,-3.0,2018
7,10,14.0,2018
15,20,-16.0,2018
19,2,-14.0,2018
3,14,8.0,2018
28,0,16.0,2018
3,4,7.0,2018
25,22,7.0,2018
26,18,5.0,2018
29,16,-16.0,2018
21,1,13.0,2018
5,6,-13.0,2018
9,13,14.0,2018
15,11,-7.0,2018
17,7,-1.0,2018
23,0,-6.0,2018
28,10,-27.0,2018
8,12,-10.0,2018
2,20,5.0,2018
19,14,-12.0,2018
27,12,18.0,2018
25,26,15.0,2018
1,16,-19.0,2018
29,0,-8.0,2018
8,7,26.0,2018
18,11,-2.0,2018
23,10,-8.0,2018
5,2,-7.0,2018
19,8,-13.0,2018
3,12,-2.0,2018
14,17,2.0,2018
20,21,10.0,2018
11,13,30.0,2018
22,27,-12.0,2018
24,15,-10.0,2018
6,3,6.0,2018
4,18,-5.0,2018
1,7,5.0,2018
25,10,-26.0,2018
28,23,28.0,2018
9,26,30.0,2018
16,29,19.0,2018
20,14,22.0,2018
24,26,9.0,2018
2,13,-1.0,2018
11,12,24.0,2018
21,17,10.0,2018
0,27,-18.0,2018
23,9,-10.0,2018
18,17,5.0,2018
22,7,7.0,2018
8,19,17.0,2018
29,5,13.0,2018
25,15,6.0,2018
6,16,-15.0,2018
1,4,-19.0,2018
2,12,-11.0,2018
14,18,9.0,2018
10,20,-5.0,2018
4,29,-9.0,2018
19,27,-5.0,2018
28,26,20.0,2018
11,5,15.0,2018
0,3,-9.0,2018
16,21,-20.0,2018
22,13,23.0,2018
0,21,-16.0,2018
9,15,2.0,2018
6,24,1.0,2018
25,23,13.0,2018
4,16,-13.0,2018
5,19,3.0,2018
10,6,16.0,2018
17,12,10.0,2018
7,15,16.0,2018
8,29,9.0,2018
27,1,2.0,2018
11,3,9.0,2018
20,24,9.0,2018
22,2,-3.0,2018
9,28,7.0,2018
18,21,-30.0,2018
0,13,4.0,2018
14,26,-1.0,2018
17,10,10.0,2018
11,16,-9.0,2018
5,1,-9.0,2018
4,14,12.0,2018
7,25,2.0,2018
6,15,-11.0,2018
